束ID,9相談,束,質問原文（受講生名・スタッフ名マスク済み）,日時,出典行(questions_all_full.csv)
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラス生はサポートLINEからの連絡で十分なんですが、システム的に無理なんでしょうか,2026-05-01 09:23:48,290
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お疲れ様です。 動画を拝見しました。 スキルプラスが無くなるのでは…。と心配と不安で気が気でないです。,2026-05-01 09:44:36,296
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラス,2026-05-01 14:45:37,344
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラス,2026-05-01 17:03:50,372
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お疲れ様です。 現在、以下のグループラインが増えてしまい、結構被ってる内容もあるので、消しても大丈夫そうなのありますでしょうか？ ・スキルプラスサポートLINE ・◯◯ ・◯◯のSNS完全攻略LINE ・アドネス市場最大の重大発表,2026-05-01 21:26:28,434
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,私はプライムプランに移行いたしました。 それから、このスキルプラスのアドネス最大の重大発表については他でも答えていますので、もうこのLINEでは流さないでください。今後ともよろしくお願いします。,2026-05-02 07:26:20,505
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ご連絡有難うございます。 AIカレッジに入塾しました後確かスキルプラスに移行したと記憶しております。 家族の介護、私の心臓手術などがありしばらく学ぶことができませんでした。 ラインのスキルプラスのスクショ画面を送信いたします。,2026-05-03 20:08:09,674
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ご連絡有難うございます。 AIカレッジに入塾しました後確かスキルプラスに移行したと記憶しております。 家族の介護、私の心臓手術などがありしばらく学ぶことができませんでした。 ラインのスキルプラスのスクショ画面を送信いたします。,2026-05-03 20:08:09,675
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お世話になっています。 ◯◯です。 前回の14日間スキルプラス体験記の記事を書かせていただいてからお仕事をいただけていませんが私が出来る仕事はもうないのでしょうか？ それと申し訳ないのですが4月分が振り込まれていません。 もう支払ってもらえないのですか？,2026-05-03 20:29:11,682
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯さんの動画の続きが気になりすぎます💦 本当にスキルプラスは存続していけるんでしょうか…。,2026-05-03 20:40:42,683
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お疲れ様です、 昨日公開され◯◯さんの第1話、拝見致しました、 コメントも入れましたが届いていないでしょうか、、 ◯◯さんの音声メール、 また昨日はお電話も頂いたようです、がバタバタしていて取れませんでしたがその件だったでしょうか、 スキルプラスについては本業が多忙続きでなかなか取り組める時間が無くて、、^^; その件だったかも知れませんね、 ちょっと気になりまして此方に送らせて頂きました。,2026-05-04 20:05:24,829
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,現在、スキルプラスにて動画編集コースを以前進めていたのですが、なくなってしまっています。自分はなにをすればよろしいか分からなくなりました。,2026-05-05 03:54:47,911
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,第二話見ました。スキルプラスで、ちょうど人生の設計図をやっていた所だったので、とてもシンクロして感動しました。正に人生の設計図の結果このような素晴らしい関係が築けたのだと感じました。,2026-05-06 02:49:45,1044
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯さま ありがとうございます。 スキルプラス卒業まであと(2)年。 目標は、 ｢誰でも(シニア世代でも)ＡＩと共存できるように橋渡しをすること｣ と設定し、できることをやっていきます。 まず自分ができるようになって、誰かの役にも立てたらラッキー(ラッキー)くらいのスタンスでやっていきたいです。 よろしくお願いします(よろしくお願いします),2026-05-06 08:43:56,1052
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,第2観ました！ いろいろあったんですね! 自分は個人再生手続き中にスキルプラスに出会って、基礎の基礎は知ってたのでどうでもよかったのですが、マーケティングや動画作成、人の役に立つことをやるなどいろいろ勉強させてもらってます！ 今月でスキルプラスの1年終わってしまい、最近リリースされた講義あまり受けてないのが残念ですができる限り学んでいきたいと思います,2026-05-06 09:36:39,1062
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯さん お世話になっております。 スタートダッシュからです。スキルプラスのLINE自体表示はありませんでした。,2026-05-06 14:43:16,1099
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯さん、ご丁寧にありがとうございます✨ 私も忙しさにかまけて、スキルプラスの学びが保留のままなので、愚直に進めていこうと思います。 そして「価値提供」ですね❣️ これは生きている間は、永遠に続く課題だと思います✨ アドネスにいる皆さんにも喜んで頂けるような価値提供ができるよう、引き続き挑戦続けますね✨,2026-05-06 14:43:57,1100
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,こんばんは。ご連絡ありがとうございます。 公開日に第2話も、◯◯さんからのメッセージも拝見しました。 ◯◯さんの辛い気持ちの吐露、涙も見ていて辛く、途中から泣きながら拝聴しました。 実は私は、昨年の行政処分の件は知らなかったのです。 今回の動画で初めて知り、ネットでもちょっと調べてみました。 確かにXやそのほかでの、◯◯さんへのアンチコメント、匿名だから何でも書けるでしょうから目に余るものがありました。 やっかみ、妬み、面白半分ももちろんあるでしょう。 価値提供し続け、ひたすらGiverだった◯◯さんは、どれだけ辛かったことか... もちろん社員の皆様も。 確かに販売方法がちょっと強引かな...と思ったことはあります。 ですが、この行政処分後に、社員の皆様で、もう二度と同じことは起こすまいと検討されたのではないでしょうか。 私は（本当に申し訳ないくらい）長い期間、スキルプラス生で残させてもらっていますが、◯◯さんはじめ社員の皆様の優しさに救われています。 ありがとうございます。 辛い苦しい経験も、魅力の幅を拡げることに繋がりますし、善い行動を続ければタイムラグはあっても必ず善い結果に繋がると思います。 これからも、いち生徒として応援したいと思っていますので、よろしくお願いします。,2026-05-06 22:32:13,1211
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ありがとうございます。 実は私はONEのSNS部門で 落ちこぼれそうになっていた時にスキルプラスに入会しました。 贅沢な両刀使いをさせて頂いてます。 お二人のご関係を知らず かなり驚きましたが ◯◯さん◯◯さんも 心から尊敬しております。 本日の配信も 必ず見させていただきます。,2026-05-07 09:34:44,1245
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,前回問い合わせした内容の回答が途中で切れてるようなので、別の勉強を行いながら続きを待っていたのですが、別のところから質問の回答全文を見れるのでしょうか？ スキルプラスの中では回答は見れなかったです。 また、進めるコースの変更、もしくは同時進行も考えているのですがその場合はこちらで選択して進めて良いのでしょうか？,2026-05-07 10:42:37,1254
