束ID,9相談,束（同じ返しで対応できる質問の束）,件数,繋ぎ先,ステータス,回答本文（スキルプラスくん・そのまま送れる完成文）,備考
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,85,その場（AI診断）／不安時はサポート,🤖その場（診断フロー）,"進め方の相談だね、一緒に整理しよう😊
今のあなたにいちばん合う「次の1コース」を見つけたいから、かんたんな質問を10問、1つずつ聞いていくね。サクッと答えてくれればOKだよ💡
（10問診断：呼び方→職業→変えたいこと→動機→分野→ビジネス経験→AI経験→PC→使える時間 を1問ずつ）
（10問おわり）ありがとう！今のあなたには、まず「○○コース」がおすすめ✨
このコースで進んでみる？
　1️⃣ 進む → コース追加リンクで追加して、最初のアクションへ送り出すね！
　2️⃣ もう一回答える → 質問をやり直せるよ
　3️⃣ ちょっと不安/相談したい → サポートに繋ぐね（24時間以内に返事くるよ😊）",コース提示の分岐ルールは2026-05-30確定済み。残課題=2回目以降の来訪者（終えたコースは出さない/進行中を優先）
G1-02,🧭学習① これからの進め方,ゴール設定・目標設定,27,その場（AI診断）／不安時はサポート,🤖その場（診断フロー）,"進め方の相談だね、一緒に整理しよう😊
今のあなたにいちばん合う「次の1コース」を見つけたいから、かんたんな質問を10問、1つずつ聞いていくね。サクッと答えてくれればOKだよ💡
（10問診断：呼び方→職業→変えたいこと→動機→分野→ビジネス経験→AI経験→PC→使える時間 を1問ずつ）
（10問おわり）ありがとう！今のあなたには、まず「○○コース」がおすすめ✨
このコースで進んでみる？
　1️⃣ 進む → コース追加リンクで追加して、最初のアクションへ送り出すね！
　2️⃣ もう一回答える → 質問をやり直せるよ
　3️⃣ ちょっと不安/相談したい → サポートに繋ぐね（24時間以内に返事くるよ😊）",コース提示の分岐ルールは2026-05-30確定済み。残課題=2回目以降の来訪者（終えたコースは出さない/進行中を優先）
G1-03,🧭学習① これからの進め方,進め方・ペース・カリキュラム,24,その場（AI診断）／不安時はサポート,🤖その場（診断フロー）,"進め方の相談だね、一緒に整理しよう😊
今のあなたにいちばん合う「次の1コース」を見つけたいから、かんたんな質問を10問、1つずつ聞いていくね。サクッと答えてくれればOKだよ💡
（10問診断：呼び方→職業→変えたいこと→動機→分野→ビジネス経験→AI経験→PC→使える時間 を1問ずつ）
（10問おわり）ありがとう！今のあなたには、まず「○○コース」がおすすめ✨
このコースで進んでみる？
　1️⃣ 進む → コース追加リンクで追加して、最初のアクションへ送り出すね！
　2️⃣ もう一回答える → 質問をやり直せるよ
　3️⃣ ちょっと不安/相談したい → サポートに繋ぐね（24時間以内に返事くるよ😊）",コース提示の分岐ルールは2026-05-30確定済み。残課題=2回目以降の来訪者（終えたコースは出さない/進行中を優先）
G1-04,🧭学習① これからの進め方,方向性・迷い・相談,17,その場（AI診断）／不安時はサポート,🤖その場（診断フロー）,"進め方の相談だね、一緒に整理しよう😊
今のあなたにいちばん合う「次の1コース」を見つけたいから、かんたんな質問を10問、1つずつ聞いていくね。サクッと答えてくれればOKだよ💡
（10問診断：呼び方→職業→変えたいこと→動機→分野→ビジネス経験→AI経験→PC→使える時間 を1問ずつ）
（10問おわり）ありがとう！今のあなたには、まず「○○コース」がおすすめ✨
このコースで進んでみる？
　1️⃣ 進む → コース追加リンクで追加して、最初のアクションへ送り出すね！
　2️⃣ もう一回答える → 質問をやり直せるよ
　3️⃣ ちょっと不安/相談したい → サポートに繋ぐね（24時間以内に返事くるよ😊）",コース提示の分岐ルールは2026-05-30確定済み。残課題=2回目以降の来訪者（終えたコースは出さない/進行中を優先）
G1-05,🧭学習① これからの進め方,上記の束に当てはまらない（この相談の共通の返しで対応）,5,その場（AI診断）／不安時はサポート,🤖その場（診断フロー）,"進め方の相談だね、一緒に整理しよう😊
今のあなたにいちばん合う「次の1コース」を見つけたいから、かんたんな質問を10問、1つずつ聞いていくね。サクッと答えてくれればOKだよ💡
（10問診断：呼び方→職業→変えたいこと→動機→分野→ビジネス経験→AI経験→PC→使える時間 を1問ずつ）
（10問おわり）ありがとう！今のあなたには、まず「○○コース」がおすすめ✨
このコースで進んでみる？
　1️⃣ 進む → コース追加リンクで追加して、最初のアクションへ送り出すね！
　2️⃣ もう一回答える → 質問をやり直せるよ
　3️⃣ ちょっと不安/相談したい → サポートに繋ぐね（24時間以内に返事くるよ😊）",コース提示の分岐ルールは2026-05-30確定済み。残課題=2回目以降の来訪者（終えたコースは出さない/進行中を優先）
G1-06,🧭学習① これからの進め方,何から始める/順番,5,その場（AI診断）／不安時はサポート,🤖その場（診断フロー）,"進め方の相談だね、一緒に整理しよう😊
今のあなたにいちばん合う「次の1コース」を見つけたいから、かんたんな質問を10問、1つずつ聞いていくね。サクッと答えてくれればOKだよ💡
（10問診断：呼び方→職業→変えたいこと→動機→分野→ビジネス経験→AI経験→PC→使える時間 を1問ずつ）
（10問おわり）ありがとう！今のあなたには、まず「○○コース」がおすすめ✨
このコースで進んでみる？
　1️⃣ 進む → コース追加リンクで追加して、最初のアクションへ送り出すね！
　2️⃣ もう一回答える → 質問をやり直せるよ
　3️⃣ ちょっと不安/相談したい → サポートに繋ぐね（24時間以内に返事くるよ😊）",コース提示の分岐ルールは2026-05-30確定済み。残課題=2回目以降の来訪者（終えたコースは出さない/進行中を優先）
G2-01,📘学習② 講義の内容で分からない,Claude Code/Cursor/Codex,164,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○（いま取り組んでるアクション）」の話だよね？ どこが分からない？教えてね😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（頻出定型のみ固定回答化し、残りは下の講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ角度を変えて答え直す
→ それでもダメなら:
オッケー、ここは講師に繋ぐのがいちばん早いね！「①何をしたい ②どこで詰まってる」だけ教えてくれたら、こっちで整えて講師に送っておくよ。
→ 講師に送っておいたよ！24時間以内に返事くるからね😊",枠（入口/解決確認/講師繋ぎ）の文言は確定。分岐の中身の固定回答化範囲のみ未定
G2-02,📘学習② 講義の内容で分からない,上記の束に当てはまらない（この相談の共通の返しで対応）,48,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○（いま取り組んでるアクション）」の話だよね？ どこが分からない？教えてね😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（頻出定型のみ固定回答化し、残りは下の講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ角度を変えて答え直す
→ それでもダメなら:
オッケー、ここは講師に繋ぐのがいちばん早いね！「①何をしたい ②どこで詰まってる」だけ教えてくれたら、こっちで整えて講師に送っておくよ。
→ 講師に送っておいたよ！24時間以内に返事くるからね😊",枠（入口/解決確認/講師繋ぎ）の文言は確定。分岐の中身の固定回答化範囲のみ未定
G2-03,📘学習② 講義の内容で分からない,Dify/チャットボット/エージェント/n8n,31,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○（いま取り組んでるアクション）」の話だよね？ どこが分からない？教えてね😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（頻出定型のみ固定回答化し、残りは下の講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ角度を変えて答え直す
→ それでもダメなら:
オッケー、ここは講師に繋ぐのがいちばん早いね！「①何をしたい ②どこで詰まってる」だけ教えてくれたら、こっちで整えて講師に送っておくよ。
→ 講師に送っておいたよ！24時間以内に返事くるからね😊",枠（入口/解決確認/講師繋ぎ）の文言は確定。分岐の中身の固定回答化範囲のみ未定
G2-04,📘学習② 講義の内容で分からない,ChatGPT/Gemini/Canva等ツール,30,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○（いま取り組んでるアクション）」の話だよね？ どこが分からない？教えてね😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（頻出定型のみ固定回答化し、残りは下の講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ角度を変えて答え直す
→ それでもダメなら:
オッケー、ここは講師に繋ぐのがいちばん早いね！「①何をしたい ②どこで詰まってる」だけ教えてくれたら、こっちで整えて講師に送っておくよ。
→ 講師に送っておいたよ！24時間以内に返事くるからね😊",枠（入口/解決確認/講師繋ぎ）の文言は確定。分岐の中身の固定回答化範囲のみ未定
